COD_MUNICIPIO;NM_MUNICIPIO;UF;AGUA_ENCANADA_PRINCIPAL;NAO_POSSUI_AGUA_ENCANADA;NAO_POSSUI_LIGACAO_ESGOTO;NAO_TINHAM_BANHEIRO_NEM_SANITARIO;PERC_COLETA_LIXO;PERC_ACESSO_INTERNET;PERC_ALFA_15MAIS;QTD_FORM_SUP_EDUC;QTD_FORM_SUP;TX_CRESC_GEO;DENSIDADE_DEMO;INDICE_ENVELHECIMENTO;POP_PRETA;POP_PARDA;POP;PIB_BRUTO;PARTICIPACAO_PIB_UF;PARTICIPACAO_PIB_MESOREGIAO;TX_PESSOAS_PRETA_OU_PARDA;PIB_POR_HABITANTE;GINI;TX_HOMICIDIO;TX_SUICIDIO;EXPORTACAO_PERCAPITA;POUPANCA_PERCAPITA;ARRECADACAO_TOTAL_IMPOSTOS_PERCAPITA;DESP_CIENCIA_TEC_PERCAPITA;VALOR_TOTAL_BF_PERCAPITA;DESP_LEGISLATIVO_PERCAPITA;RECEITA_IPTU_PERCAPITA;COTA_PARTE_FPM_PERCAPITA;DESP_SAUDE_SANEAMENTO_PERCAPITA;OPERACOES_CREDITO_PERCAPITA;INDICADOR_REND_P_FUND;SAEB_MEDIA_FUND;IDEB_2021_FUND;INDICADOR_REND_P_ENS_MEDIO;SAEB_MEDIA_ENS_MEDIO;IDEB_2021_ENS_MEDIO
4300034;acegua;RS;36.91;55.17;13.95;0.25;81.8;82.57;96.41;9;232;-0.44;2.69;98.63;376;460;4170;458224;0.08;1.57;0.200479616306954;109.885851318945;0.53;0;23.98;NA;0.239350437873309;483.838657007839;NA;25.1764988009592;338.789894484413;114.543067146283;3369.28454916067;2790.98564268585;0.877820182202494;0.944031;5.881926;5.6;0.936478;-;-
4300059;agua santa;RS;44.21;53.18;6.58;NA;91.61;87.34;96.04;60;353;0.42;13.42;109.57;49;390;3912;547412;0.09;0.45;0.11221881390593;139.931492842536;0.68;0;0;NA;0.983012728704269;245.387109436181;NA;18.3824130879346;148.999276584867;60.8925434560327;3588.035;1965.33807770961;17.6714600316414;0.995728;6.140378;6.1;0.934912;-;-
4300109;agudo;RS;61.64;29.27;49.67;0.18;86.53;84.99;95.48;195;1233;-0.35;30;143.3;508;1879;16041;667873;0.11;2.56;0.148806184153108;41.6353718596097;0.52;6.23;18.7;44.1449410884608;1.76985962055507;211.879641547221;NA;21.5091951873325;96.8044860046132;148.225892400723;1750.06457328097;754.224738482638;1.99889055324561;0.998794;6.242683;6.2;0.983295;5.256731;5.2
4300208;ajuricaba;RS;85.38;4.44;6.25;NA;85.07;85.06;96.92;115;749;-0.64;20.83;166.05;123;888;6720;521059;0.09;0.43;0.150446428571429;77.5385416666667;0.47;0;0;NA;1.22181504197926;288.062134144466;NA;17.846130952381;179.677324404762;184.65927827381;2088.74895535714;1464.13321130952;6.95528498514062;1;6.185779;6.2;0.771267;-;-
4300307;alecrim;RS;80.53;5.33;0.67;0.08;89.54;75.52;94.27;103;442;-1.16;19.35;233.61;70;968;6123;162072;0.03;0.13;0.16952474277315;26.469377756002;0.49;32.66;65.33;NA;1.5109754289327;122.199537056149;NA;28.8089171974522;90.9642430181284;69.8932059447983;2292.40452719255;1028.65580924383;0.926396031782492;0.990656;6.35034;6.3;0.92983;5.45736;5.1
4300406;alegrete;RS;87.75;11.53;76.45;0.07;91.46;84.25;95.79;1440;9757;-0.58;9.28;126.32;6454;16383;72409;3079871;0.53;10.54;0.31538897098427;42.5343672747863;0.52;16.57;11.05;1001.49031197779;1.36669706351092;292.501992770196;0.452982364070765;17.628361115331;131.700337803312;183.391228852767;840.011175406372;1019.50095499178;5.90227701583546;0.992789;5.751144;5.7;0.862836;-;-
4300455;alegria;RS;87.06;6.13;0.55;NA;68.41;64.35;93.8;50;205;-1.34;21.13;198.01;55;678;3651;156622;0.03;0.13;0.200766913174473;42.8983840043824;0.53;0;27.39;NA;0.402133618167214;183.835279741233;NA;34.3325116406464;241.52657080252;75.1871542043276;3769.77503971515;1774.24529991783;1.00147975179575;1;5.560185;5.6;0.928462;-;-
4300471;almirante tamandare do sul;RS;65.66;11.15;18.55;NA;85.46;84.86;97.14;35;191;-0.4;7.43;158.46;54;168;1969;276411;0.05;0.23;0.112747587607923;140.381411884205;0.44;0;0;NA;NA;226.633186136221;NA;0.00856272219400711;394.53373793804;152.605053326562;7128.69117318436;2870.13275266633;NA;-;-;-;0.87098;-;-
4300505;alpestre;RS;53.36;35.78;12.62;0.32;44.32;77.11;91.43;90;483;-1;21.83;175.84;163;1112;7117;196381;0.03;0.16;0.179148517633834;27.5932274834902;0.49;0;42.15;NA;1.29696316966817;128.373420100389;NA;17.520725024589;139.51490796684;65.3036026415624;1972.23449768161;1918.79062947871;0.538817361631376;0.997577;6.772262;6.8;0.921986;4.452839;4.1
4300554;alto alegre;RS;93.83;2.73;0.14;NA;83.21;84.51;95.06;47;186;-0.22;15.61;190.46;39;206;1800;106141;0.02;0.09;0.136111111111111;58.9672222222222;0.48;0;0;NA;NA;161.766714999078;NA;17.3144444444444;373.7157;95.8332888888889;7932.01519444444;2598.16285;NA;1;5.935803;5.9;0.890911;4.136285;3.7
