Mes-Ano;Indice
01-2000;1246119
02-2000;1275890
03-2000;1348190
04-2000;1318419
05-2000;1377961
06-2000;1280143
07-2000;1365202
08-2000;1386467
09-2000;1373708
10-2000;1407732
11-2000;1420490
12-2000;1939352
01-2001;1309913
02-2001;1246119
03-2001;1420490
04-2001;1365202
05-2001;1386467
06-2001;1331178
07-2001;1352443
08-2001;1403479
09-2001;1373708
10-2001;1488538
11-2001;1467273
12-2001;2011653
01-2002;1352443
02-2002;1292901
03-2002;1505550
04-2002;1407732
05-2002;1492791
06-2002;1403479
07-2002;1454514
08-2002;1531067
09-2002;1446008
10-2002;1620380
11-2002;1633139
12-2002;2173265
01-2003;1535320
02-2003;1514056
03-2003;1628886
04-2003;1650151
05-2003;1718198
06-2003;1594862
07-2003;1654403
08-2003;1713945
09-2003;1645898
10-2003;1790498
11-2003;1803257
12-2003;2381661
01-2004;1709692
02-2004;1671415
03-2004;1794751
04-2004;1811763
05-2004;1913834
06-2004;1845787
07-2004;1930846
08-2004;1892570
09-2004;1871305
10-2004;2003147
11-2004;1990388
12-2004;2789945
01-2005;1901075
02-2005;1726704
03-2005;1990388
04-2005;1960617
05-2005;2062688
06-2005;1990388
07-2005;2066941
08-2005;2054182
09-2005;1960617
10-2005;2117977
11-2005;2113724
12-2005;2981329
01-2006;2088206
02-2006;1875558
03-2006;2079700
04-2006;2113724
05-2006;2152000
06-2006;2032917
07-2006;2088206
08-2006;2143494
09-2006;2130736
10-2006;2207289
11-2006;2241313
12-2006;3070641
01-2007;2181771
02-2007;2054182
03-2007;2360396
04-2007;2343384
05-2007;2475226
06-2007;2390166
07-2007;2411431
08-2007;2522008
09-2007;2496491
10-2007;2581550
11-2007;2687874
12-2007;3640538
01-2008;2636838
02-2008;2500744
03-2008;2857993
04-2008;2717645
05-2008;3040870
06-2008;2870752
07-2008;2934546
08-2008;3074894
09-2008;2972823
10-2008;3125929
11-2008;3100412
12-2008;4082847
01-2009;3023858
02-2009;2819716
03-2009;3104665
04-2009;3176965
05-2009;3325819
06-2009;3198230
07-2009;3274783
08-2009;3368348
09-2009;3266277
10-2009;3534214
11-2009;3495937
12-2009;4567685
01-2010;3453408
02-2010;3266277
03-2010;3721345
04-2010;3632032
05-2010;3810657
06-2010;3657550
07-2010;3717092
08-2010;3780886
09-2010;3734104
10-2010;3997787
11-2010;3968017
12-2010;5299195
01-2011;3882957
02-2011;3627779
03-2011;4048823
04-2011;4129629
05-2011;4189171
06-2011;4078594
07-2011;4189171
08-2011;4206183
09-2011;4146641
10-2011;4346531
11-2011;4389060
12-2011;5801045
01-2012;4401819
02-2012;4193424
03-2012;4678262
04-2012;4469866
05-2012;4695274
06-2012;4580444
07-2012;4678262
08-2012;4839874
09-2012;4737803
10-2012;4954705
11-2012;5061029
12-2012;6609108
01-2013;4916428
02-2013;4508143
03-2013;5311954
04-2013;4844127
05-2013;5265171
06-2013;5035511
07-2013;5282183
08-2013;5511843
09-2013;5256665
10-2013;5601155
11-2013;5720238
12-2013;7276824
01-2014;5545867
02-2014;5163100
03-2014;5622420
04-2014;5558626
05-2014;5805298
06-2014;5384254
07-2014;5554373
08-2014;5737250
09-2014;5482072
10-2014;5898863
11-2014;6115764
12-2014;7651085
01-2015;5924381
02-2015;5362989
03-2015;5890357
04-2015;5698973
05-2015;5958404
06-2015;5596902
07-2015;5732997
08-2015;5796792
09-2015;5664950
10-2015;6205076
11-2015;6273124
12-2015;7931780
01-2016;5962657
02-2016;5788286
03-2016;6319906
04-2016;6098752
05-2016;6222088
06-2016;6145535
07-2016;6315653
08-2016;6396460
09-2016;6060476
10-2016;6438989
11-2016;6587843
12-2016;8131670
01-2017;6291747
02-2017;5834410
03-2017;5887809
04-2017;6339210
05-2017;6416552
06-2017;6315141
07-2017;6429079
08-2017;6336900
09-2017;6335725
10-2017;6469787
11-2017;6825464
12-2017;8566336
01-2018;6438290
02-2018;5791426
03-2018;6505990
04-2018;6339574
05-2018;6642546
06-2018;6568781
07-2018;6650311
08-2018;6923927
09-2018;6662585
10-2018;6793185
11-2018;7448961
12-2018;8956441
01-2019;6818911
02-2019;6309218
03-2019;6533709
04-2019;6802001
05-2019;7042959
06-2019;6872579
07-2019;6973790
08-2019;7279643
09-2019;6879914
10-2019;7255211
11-2019;7893731
12-2019;9560921
01-2020;7211099
02-2020;6874883
03-2020;7221134
04-2020;5989911
05-2020;6697661
06-2020;7072807
07-2020;7684595
08-2020;7879739
09-2020;7786122
10-2020;8458378
11-2020;8860629
12-2020;10555992
01-2021;8007598
02-2021;7542415
03-2021;8106148
04-2021;8074266
05-2021;8810283
06-2021;8536998
07-2021;9154610
08-2021;8805687
09-2021;8423252
10-2021;8971376
11-2021;9617467
12-2021;11448710
01-2022;8840897
02-2022;8465125
03-2022;9462019
04-2022;9827902
05-2022;10203843
06-2022;9927605
07-2022;10117110
08-2022;9989147
09-2022;9614243
10-2022;10116527
11-2022;10642685
12-2022;12792897
01-2023;9863082
02-2023;9194993
03-2023;10333638
04-2023;10250578
05-2023;10343921
06-2023;10194553
07-2023;10370824
08-2023;10276799
09-2023;10175435
10-2023;10296079
11-2023;11324919
12-2023;13265453
01-2024;10343101
02-2024;10096604
03-2024;11176043
04-2024;10415838
05-2024;11481239
06-2024;10968344
07-2024;11257307
08-2024;11300567
09-2024;10828353
10-2024;11389404
11-2024;12498785
12-2024;14209112
01-2025;11254239
02-2025;10661627
